vin,customerID,startdate,partnumber,quantity,price,vendorname
06XZOKN8UAY309163,56,2020-06-12,TP-EAELASS0090,3,30.48,Nam-zim
06XZOKN8UAY309163,56,2020-08-11,FH-BAE0018,4,33.52,Blackzim
06XZOKN8UAY309163,56,2020-08-11,NM-EAELASS0087,2,27.95,Finhigh
06XZOKN8UAY309163,56,2020-08-11,ZN-EAEAD0041,4,12.58,Betatech
06XZOKN8UAY309163,56,2020-08-11,ZN-EAEAD0046,2,0.12,Funholding
06XZOKN8UAY309163,56,2020-08-11,ZN-EAEIS0081,4,1.42,Nam-zim
06XZOKN8UAY309163,56,2020-08-11,ZN-PACBS0195,4,19.6,Betatech
06XZOKN8UAY309163,56,2021-02-28,FG-PACBS0193,4,25.63,Funholding
06XZOKN8UAY309163,56,2021-03-29,NM-PACBS0189,1,9.74,Funholding
06XZOKN8UAY309163,56,2021-03-29,ZN-BAE0006,1,31.85,Zathunicon
06XZOKN8UAY309163,56,2021-04-21,NM-BAE0007,2,6.12,Zathunicon
06XZOKN8UAY309163,56,2021-04-21,NM-EAEESS0058,3,9.13,Funholding
06XZOKN8UAY309163,56,2021-04-21,PP-PACBS0196,1,22.09,Plexzap
06XZOKN8UAY309163,56,2021-07-17,ZN-EAEM0138,3,13.16,Nam-zim
06XZOKN8UAY309163,56,2021-07-17,ZN-ICS0161,1,6.7,Toughzap
073HOEWCHAF741925,53,2021-04-08,FG-BAEW0034,4,65.71,Blackzim
073HOEWCHAF741925,53,2021-04-08,FH-EAECS0051,4,117.93,Betatech
073HOEWCHAF741925,53,2021-04-08,FH-EAEM0142,4,54.99,Plexzap
073HOEWCHAF741925,53,2021-04-08,TP-EAES0113,1,88.14,Nam-zim
073HOEWCHAF741925,53,2021-04-24,BM-EAEM0145,2,129.62,Nam-zim
073HOEWCHAF741925,53,2021-04-24,FH-EAEM0150,3,31.17,Nam-zim
073HOEWCHAF741925,53,2021-04-24,FH-PACBS0190,3,32.18,Nam-zim
073HOEWCHAF741925,53,2021-06-19,FH-BAE0016,1,67.44,Toughzap
073HOEWCHAF741925,53,2021-06-19,FH-ICS0158,4,36.51,Blackzim
073HOEWCHAF741925,53,2021-06-19,NM-EAEGAM0068,4,81.36,Blackzim
073HOEWCHAF741925,53,2021-06-19,NM-PACBS0191,1,78.18,Toughzap
073HOEWCHAF741925,53,2021-06-19,TP-EAEESS0055,2,112.82,Plexzap
073HOEWCHAF741925,53,2021-06-19,ZN-BAED0032,2,32.98,Finhigh
073HOEWCHAF741925,53,2021-06-19,ZN-BAEW0034,4,65.75,Zathunicon
073HOEWCHAF741925,53,2021-07-19,NM-BAE0010,2,63.36,Finhigh
073HOEWCHAF741925,53,2021-07-19,NM-PACBS0166,4,41.74,Zathunicon
073HOEWCHAF741925,53,2021-07-19,ZN-EAES0112,3,82.02,Plexzap
07TSE0YYIZF380247,55,2020-11-04,BM-BAE0011,1,44.89,Funholding
07TSE0YYIZF380247,55,2020-11-15,PP-EAEGAM0069,1,27.46,Blackzim
07TSE0YYIZF380247,55,2020-11-15,PP-EAEGAM0074,4,6.08,Betatech
07TSE0YYIZF380247,55,2020-11-15,TP-BAE0008,3,50.21,Plexzap
07TSE0YYIZF380247,55,2020-11-15,TP-EAEIS0078,4,55.75,Zathunicon
07TSE0YYIZF380247,55,2020-12-24,BH-EAEM0147,1,57.5,Blackzim
07TSE0YYIZF380247,55,2020-12-24,BH-EAEM0149,1,17.72,Finhigh
07TSE0YYIZF380247,55,2020-12-24,NM-EAES0110,2,46.03,Blackzim
07TSE0YYIZF380247,55,2020-12-24,NM-PACBS0179,3,1.56,Blackzim
07TSE0YYIZF380247,55,2021-06-08,FG-EAECS0050,3,0.75,Blackzim
07TSE0YYIZF380247,55,2021-06-08,NM-BAED0025,3,31.55,Toughzap
07TSE0YYIZF380247,55,2021-06-08,NM-PACBS0176,2,42.11,Blackzim
07TSE0YYIZF380247,55,2021-07-30,BH-EAELASS0086,1,44.51,Funholding
07TSE0YYIZF380247,55,2021-07-30,BH-EAEM0144,2,12.68,Finhigh
07TSE0YYIZF380247,55,2021-07-30,BH-EAEWH0129,1,28.48,Zathunicon
07TSE0YYIZF380247,55,2021-07-30,BH-PACBS0167,2,55.24,Zathunicon
07TSE0YYIZF380247,55,2021-07-30,BM-EAELASS0086,1,17.92,Zathunicon
07TSE0YYIZF380247,55,2021-07-30,ZN-EAEM0133,4,21.92,Blackzim
07TSE0YYIZF380247,55,2021-07-30,ZN-EAES0101,2,47.23,Blackzim
07TSE0YYIZF380247,55,2021-08-22,BM-BAE0004,1,46.41,Betatech
07TSE0YYIZF380247,55,2021-08-22,BM-EAEM0143,2,39.49,Zathunicon
07TSE0YYIZF380247,55,2021-08-22,FH-BAED0024,2,20.02,Toughzap
07TSE0YYIZF380247,55,2021-08-22,FH-BAED0028,3,65.96,Toughzap
07TSE0YYIZF380247,55,2021-08-22,PP-EAEM0132,4,4.44,Toughzap
07TSE0YYIZF380247,55,2021-08-22,PP-ICS0158,3,8.07,Betatech
0BT52YYB1L8670257,56,2020-12-02,BH-EAEAD0047,3,367.52,Plexzap
0BT52YYB1L8670257,56,2020-12-02,FH-BAED0030,2,125.59,Funholding
0BT52YYB1L8670257,56,2020-12-02,FH-BAED0032,4,60.54,Toughzap
0BT52YYB1L8670257,56,2020-12-02,ZN-BAE0020,3,21.38,Funholding
0BT52YYB1L8670257,56,2020-12-02,ZN-BAED0029,1,344.16,Nam-zim
0BT52YYB1L8670257,56,2021-03-18,BM-EAES0093,4,387.67,Blackzim
0BT52YYB1L8670257,56,2021-03-18,BM-EAES0113,1,90.98,Finhigh
0EPPRCZZ8NW751990,187,2021-03-25,BH-EAEGAM0074,2,61.99,Nam-zim
0EPPRCZZ8NW751990,187,2021-03-25,BH-ICS0158,3,36.51,Betatech
0EPPRCZZ8NW751990,187,2021-03-25,BM-EAEGAM0062,2,120.26,Nam-zim
0EPPRCZZ8NW751990,187,2021-03-25,BM-EAEM0150,1,132.56,Zathunicon
0EPPRCZZ8NW751990,187,2021-03-25,BM-ICS0156,2,61.85,Toughzap
0EPPRCZZ8NW751990,187,2021-05-28,FH-EAEM0150,4,37.67,Funholding
0EPPRCZZ8NW751990,187,2021-05-28,TP-EAEIS0077,4,87.94,Betatech
0EPPRCZZ8NW751990,187,2021-05-28,TP-EAEM0146,1,96.23,Betatech
0EPPRCZZ8NW751990,187,2021-05-28,ZN-EAESS0117,1,18.12,Plexzap
0EPPRCZZ8NW751990,187,2021-07-13,FH-BAE0020,3,90.14,Zathunicon
0EPPRCZZ8NW751990,187,2021-07-13,FH-EAESS0116,2,72.19,Toughzap
0EPPRCZZ8NW751990,187,2021-08-13,FH-EAEM0144,1,75.68,Finhigh
0EPPRCZZ8NW751990,187,2021-08-13,FH-EAES0102,4,134.39,Plexzap
0EPPRCZZ8NW751990,187,2021-08-13,PP-BAE0002,2,86.47,Toughzap
0EPPRCZZ8NW751990,187,2021-08-13,PP-BAED0024,1,86.87,Betatech
0I0Q707FJ2E520815,153,2021-04-01,FG-EAEAD0047,2,21.67,Zathunicon
0I0Q707FJ2E520815,153,2021-04-01,FG-PACBS0177,2,14.02,Toughzap
0I0Q707FJ2E520815,153,2021-04-01,PP-BAED0028,2,41.09,Toughzap
0I0Q707FJ2E520815,153,2021-04-01,PP-EAES0104,4,13.17,Zathunicon
0I0Q707FJ2E520815,153,2021-04-20,BH-BAE0016,4,30.08,Betatech
0I0Q707FJ2E520815,153,2021-04-20,PP-EAEGAM0064,4,23.36,Finhigh
0I0Q707FJ2E520815,153,2021-04-20,PP-ICS0157,1,3.78,Zathunicon
0I0Q707FJ2E520815,153,2021-04-20,ZN-ICS0162,2,43.67,Nam-zim
0I0Q707FJ2E520815,153,2021-04-20,ZN-IFCAP0152,3,43.39,Blackzim
0I0Q707FJ2E520815,153,2021-04-27,NM-EAEM0142,4,28.76,Toughzap
0I0Q707FJ2E520815,153,2021-04-27,TP-EAEESS0056,2,6.01,Plexzap
0I0Q707FJ2E520815,153,2021-04-27,TP-PACBS0173,4,45.87,Finhigh
0I0Q707FJ2E520815,153,2021-09-03,FG-BAE0014,3,36.02,Plexzap
0I0Q707FJ2E520815,153,2021-09-03,NM-10141,1,40.24,Betatech
0I0Q707FJ2E520815,153,2021-09-03,NM-EAEGAM0063,3,37.73,Funholding
0I0Q707FJ2E520815,153,2021-09-09,BH-EAESS0117,3,16.35,Plexzap
0I0Q707FJ2E520815,153,2021-09-09,BH-PACBS0169,1,13.88,Toughzap
0I0Q707FJ2E520815,153,2021-09-09,FH-EAES0093,1,39.22,Funholding
0I0Q707FJ2E520815,153,2021-09-09,NM-BAE0002,1,7.93,Betatech
0I0Q707FJ2E520815,153,2021-09-09,TP-ICS0154,3,34.54,Funholding
0I0Q707FJ2E520815,153,2021-09-09,TP-PACBS0191,2,12.54,Toughzap
0I0Q707FJ2E520815,153,2021-09-15,FG-EAEM0146,1,18.73,Funholding
0I0Q707FJ2E520815,153,2021-09-15,FG-EAESS0115,1,18.68,Toughzap
0I0Q707FJ2E520815,153,2021-09-15,FH-EAEM0134,1,45.92,Betatech
0I0Q707FJ2E520815,153,2021-09-15,FH-EAEM0135,3,1.42,Betatech
0I0Q707FJ2E520815,153,2021-09-15,PP-BAE0017,1,14.17,Blackzim
0I0Q707FJ2E520815,153,2021-09-15,ZN-EAEAD0042,1,26.07,Toughzap
0I0Q707FJ2E520815,153,2021-09-15,ZN-EAEM0140,2,26.27,Zathunicon
0K0DP4SDKL0912273,15,2020-10-13,BH-EAEESS0060,2,65.45,Blackzim
0K0DP4SDKL0912273,15,2020-10-13,FH-EAEGAM0074,4,13.98,Toughzap
0K0DP4SDKL0912273,15,2020-10-13,FH-EAELASS0092,2,38.23,Zathunicon
0K0DP4SDKL0912273,15,2020-10-13,FH-EAES0093,2,10.52,Blackzim
0K0DP4SDKL0912273,15,2020-10-13,ZN-PACBS0197,2,24.97,Toughzap
0K0DP4SDKL0912273,15,2020-11-07,BH-EAEM0149,2,65.38,Nam-zim
0K0DP4SDKL0912273,15,2020-11-07,ZN-BAED0031,3,57.69,Nam-zim
0K0DP4SDKL0912273,15,2021-01-05,BH-PACBS0191,3,62.38,Betatech
0K0DP4SDKL0912273,15,2021-01-05,BM-EAEESS0053,1,4.28,Nam-zim
0K0DP4SDKL0912273,15,2021-01-05,ZN-BAE0014,3,40.54,Finhigh
0K0DP4SDKL0912273,15,2021-01-23,BH-ICS0158,4,16.26,Zathunicon
0K0DP4SDKL0912273,15,2021-01-23,BM-EAEGAM0071,3,18.02,Nam-zim
0K0DP4SDKL0912273,15,2021-03-06,FH-EAECS0051,3,90.64,Funholding
0K0DP4SDKL0912273,15,2021-03-06,FH-EAEGAM0069,3,86.25,Betatech
0K0DP4SDKL0912273,15,2021-03-06,TP-BAE0000,2,8.42,Betatech
0K0DP4SDKL0912273,15,2021-03-06,TP-BAEW0038,3,53.29,Funholding
0K0DP4SDKL0912273,15,2021-03-06,TP-EAEGAM0067,3,14.89,Funholding
0K0DP4SDKL0912273,15,2021-03-06,TP-PACBS0178,2,13.44,Finhigh
0K0DP4SDKL0912273,15,2021-03-15,FG-BAE0015,1,77.31,Plexzap
0K0DP4SDKL0912273,15,2021-03-15,PP-BAE0000,2,74.64,Betatech
0K0DP4SDKL0912273,15,2021-06-10,BH-EAECS0048,1,63.67,Toughzap
0K0DP4SDKL0912273,15,2021-06-10,BH-EAEWH0131,4,62.97,Funholding
0K0DP4SDKL0912273,15,2021-06-10,FG-EAES0124,3,45.82,Nam-zim
0K0DP4SDKL0912273,15,2021-06-10,FG-PACBS0164,4,72.68,Plexzap
0K0DP4SDKL0912273,15,2021-06-10,FH-10141,1,90.43,Finhigh
0K0DP4SDKL0912273,15,2021-06-10,FH-BAE0015,2,17.51,Betatech
0K0DP4SDKL0912273,15,2021-06-10,FH-EAES0103,1,7.93,Funholding
0K0DP4SDKL0912273,15,2021-06-10,FH-PACBS0190,1,89.7,Plexzap
0K0DP4SDKL0912273,15,2021-06-10,ZN-BAED0029,4,67.21,Nam-zim
0K0DP4SDKL0912273,15,2021-06-10,ZN-EAELASS0092,2,32.64,Nam-zim
0K0DP4SDKL0912273,15,2021-06-25,FH-EAEM0140,1,79.6,Zathunicon
0K0DP4SDKL0912273,15,2021-06-25,NM-EAELASS0090,2,51.79,Zathunicon
0UBBG820VBK445621,183,2021-05-10,BM-EAES0096,4,24.21,Toughzap
0UBBG820VBK445621,183,2021-05-10,FG-EAEAD0041,1,43.69,Betatech
0UBBG820VBK445621,183,2021-05-10,FG-PACBS0173,3,71.57,Zathunicon
0UBBG820VBK445621,183,2021-06-17,BM-10141,3,94.2,Nam-zim
0UBBG820VBK445621,183,2021-06-17,FG-PACBS0175,4,42.95,Nam-zim
0UBBG820VBK445621,183,2021-06-28,FG-EAEM0145,2,42.33,Plexzap
0UBBG820VBK445621,183,2021-07-24,FG-EAEAD0047,3,44.74,Zathunicon
0UBBG820VBK445621,183,2021-07-24,FG-EAEM0138,2,86.93,Toughzap
0UBBG820VBK445621,183,2021-07-24,FG-EAES0093,3,35.55,Nam-zim
0UBBG820VBK445621,183,2021-07-24,FG-EAESS0118,2,54.75,Funholding
0UBBG820VBK445621,183,2021-07-24,TP-EAES0101,1,28.33,Blackzim
0VWWXBNXE6N897485,63,2020-10-15,FH-EAEESS0060,4,14.28,Toughzap
0VWWXBNXE6N897485,63,2020-10-15,FH-EAEGAM0071,1,18.46,Funholding
0VWWXBNXE6N897485,63,2020-10-15,FH-EAEIS0079,1,3.02,Plexzap
0VWWXBNXE6N897485,63,2020-10-15,FH-ICS0162,3,7.49,Funholding
0VWWXBNXE6N897485,63,2020-10-15,NM-EAEGAM0062,1,12.63,Finhigh
0VWWXBNXE6N897485,63,2020-10-15,NM-EAES0108,3,3.69,Finhigh
0VWWXBNXE6N897485,63,2020-10-15,TP-EAEWH0128,4,23.93,Nam-zim
0VWWXBNXE6N897485,63,2020-10-15,TP-ICS0161,4,17.15,Betatech
0VWWXBNXE6N897485,63,2020-11-22,BM-EAEIS0075,4,12.69,Zathunicon
0VWWXBNXE6N897485,63,2020-11-22,NM-BAE0011,3,23.17,Funholding
0VWWXBNXE6N897485,63,2020-11-22,NM-EAECS0051,3,26.61,Betatech
0VWWXBNXE6N897485,63,2021-04-02,BM-BAE0013,3,12.39,Blackzim
0VWWXBNXE6N897485,63,2021-04-02,BM-EAEM0136,1,27.72,Funholding
0VWWXBNXE6N897485,63,2021-04-02,TP-BAED0026,1,14.6,Zathunicon
0VWWXBNXE6N897485,63,2021-04-02,TP-ICS0156,3,20.08,Plexzap
0VWWXBNXE6N897485,63,2021-04-24,FH-EAECS0049,1,28.3,Blackzim
0VWWXBNXE6N897485,63,2021-04-24,FH-PACBS0172,4,15.31,Funholding
0VWWXBNXE6N897485,63,2021-08-26,FG-EAEESS0058,2,0.56,Toughzap
0VWWXBNXE6N897485,63,2021-08-26,ZN-EAES0126,2,20.22,Finhigh
0VWWXBNXE6N897485,63,2021-08-26,ZN-PACBS0183,1,27.41,Blackzim
0VWWXBNXE6N897485,63,2021-09-21,BM-BAED0031,3,9.29,Blackzim
0VWWXBNXE6N897485,63,2021-09-21,BM-EAEAD0041,3,27.97,Funholding
0VWWXBNXE6N897485,63,2021-09-21,BM-EAES0105,1,0.36,Betatech
0VWWXBNXE6N897485,63,2021-09-21,FG-EAEM0135,2,15.96,Finhigh
0WPI14P1N3Y139809,123,2021-06-07,FG-10141,2,73.73,Blackzim
0WPI14P1N3Y139809,123,2021-06-07,FG-EAEGAM0073,4,35.78,Zathunicon
0WPI14P1N3Y139809,123,2021-06-24,PP-PACBS0174,3,98.84,Betatech
0YQVT1ME4G3999928,180,2021-06-07,ZN-ICS0161,1,25.21,Blackzim
0YQVT1ME4G3999928,180,2021-08-02,FH-EAECS0052,3,28.86,Betatech
0YQVT1ME4G3999928,180,2021-08-02,NM-BAE0015,1,9.61,Plexzap
0YQVT1ME4G3999928,180,2021-08-02,PP-EAEESS0059,1,18.42,Toughzap
0YQVT1ME4G3999928,180,2021-08-02,PP-EAEM0144,3,26.85,Finhigh
0YQVT1ME4G3999928,180,2021-08-02,PP-EAES0094,4,15.33,Finhigh
0YQVT1ME4G3999928,180,2021-08-02,TP-BAEW0036,1,23.57,Toughzap
0YQVT1ME4G3999928,180,2021-08-02,TP-EAES0112,3,31.18,Nam-zim
0YQVT1ME4G3999928,180,2021-08-02,TP-PACBS0173,2,18.83,Plexzap
0YQVT1ME4G3999928,180,2021-08-08,BH-EAEESS0058,1,28.73,Finhigh
0YQVT1ME4G3999928,180,2021-08-08,NM-BAE0014,3,17.19,Funholding
0YQVT1ME4G3999928,180,2021-08-08,NM-BAED0032,3,28.69,Zathunicon
0YQVT1ME4G3999928,180,2021-08-08,NM-EAES0096,1,31.68,Toughzap
0YQVT1ME4G3999928,180,2021-08-18,BM-BAE0000,1,18.98,Blackzim
0YQVT1ME4G3999928,180,2021-08-18,TP-EAEAD0044,2,7.58,Toughzap
0YQVT1ME4G3999928,180,2021-08-18,TP-EAES0101,1,10.8,Blackzim
0YQVT1ME4G3999928,180,2021-08-18,ZN-IFCAP0151,3,7.41,Zathunicon
15G3KHMPQ6Q659826,104,2020-12-12,ZN-EAEESS0058,3,25.64,Betatech
15G3KHMPQ6Q659826,104,2020-12-12,ZN-EAES0100,4,53.87,Betatech
15G3KHMPQ6Q659826,104,2021-07-30,FG-PACBS0183,1,12.83,Funholding
15G3KHMPQ6Q659826,104,2021-07-30,PP-BAEW0040,1,21.03,Zathunicon
15G3KHMPQ6Q659826,104,2021-07-30,PP-ICS0155,3,57.98,Nam-zim
15G3KHMPQ6Q659826,104,2021-07-30,ZN-BAE0003,2,46.66,Funholding
15G3KHMPQ6Q659826,104,2021-07-30,ZN-EAELASS0084,1,29.61,Nam-zim
15G3KHMPQ6Q659826,104,2021-08-14,BM-EAES0110,3,75.93,Toughzap
15G3KHMPQ6Q659826,104,2021-08-14,NM-BAEW0039,4,105.26,Betatech
15G3KHMPQ6Q659826,104,2021-08-14,NM-EAEIS0081,2,105.06,Finhigh
15G3KHMPQ6Q659826,104,2021-08-14,ZN-EAEM0147,2,10.64,Zathunicon
15G3KHMPQ6Q659826,104,2021-08-14,ZN-PACBS0197,2,28.53,Funholding
15G3KHMPQ6Q659826,104,2021-08-14,ZN-PACBS0198,1,22.33,Funholding
15G3KHMPQ6Q659826,104,2021-08-31,BM-ICS0160,2,106.26,Toughzap
15G3KHMPQ6Q659826,104,2021-08-31,BM-PACBS0195,4,25.66,Zathunicon
15G3KHMPQ6Q659826,104,2021-08-31,NM-EAEM0137,3,72.08,Toughzap
15G3KHMPQ6Q659826,104,2021-08-31,TP-BAE0022,3,74.98,Blackzim
1DQL1LHOWDJ517215,188,2021-01-26,PP-PACBS0189,4,33.15,Nam-zim
1DQL1LHOWDJ517215,188,2021-01-26,ZN-BAED0030,1,3.54,Funholding
1DQL1LHOWDJ517215,188,2021-01-26,ZN-PACBS0170,3,0.44,Blackzim
1DQL1LHOWDJ517215,188,2021-04-04,NM-ICS0154,3,30.02,Funholding
1DQL1LHOWDJ517215,188,2021-04-04,PP-BAE0008,4,34.35,Betatech
1DQL1LHOWDJ517215,188,2021-04-04,PP-PACBS0192,4,1.07,Betatech
1DQL1LHOWDJ517215,188,2021-05-20,ZN-EAES0102,2,15.06,Blackzim
1DQL1LHOWDJ517215,188,2021-05-20,ZN-PACBS0186,1,17.12,Toughzap
1DQL1LHOWDJ517215,188,2021-07-28,NM-EAESS0118,2,29.46,Finhigh
1DQL1LHOWDJ517215,188,2021-08-01,TP-BAEW0036,4,10.48,Finhigh
1DQL1LHOWDJ517215,188,2021-08-01,TP-EAEIS0079,4,30.52,Nam-zim
1EF7NFU0EUT973245,102,2020-11-13,FG-EAES0106,1,61.23,Betatech
1EF7NFU0EUT973245,102,2020-11-13,FG-ICS0157,3,89.29,Nam-zim
1EF7NFU0EUT973245,102,2020-11-13,NM-EAELASS0092,1,61.38,Plexzap
1EF7NFU0EUT973245,102,2020-11-13,NM-PACBS0179,2,8.59,Finhigh
1EF7NFU0EUT973245,102,2020-12-13,FG-BAED0023,2,25.42,Plexzap
1EF7NFU0EUT973245,102,2020-12-13,FG-EAEESS0057,2,9.71,Plexzap
1EF7NFU0EUT973245,102,2020-12-13,FG-PACBS0192,2,48.37,Toughzap
1EF7NFU0EUT973245,102,2020-12-13,NM-BAED0030,4,74.62,Funholding
1EF7NFU0EUT973245,102,2020-12-13,NM-PACBS0173,1,34.86,Nam-zim
1EF7NFU0EUT973245,102,2020-12-13,PP-EAEM0134,1,35.69,Blackzim
1EF7NFU0EUT973245,102,2020-12-13,PP-EAES0109,1,75.42,Blackzim
1EF7NFU0EUT973245,102,2020-12-13,TP-EAEGAM0063,2,52,Plexzap
1EF7NFU0EUT973245,102,2020-12-13,TP-EAEM0149,1,7.68,Zathunicon
1EF7NFU0EUT973245,102,2021-02-08,BM-EAEGAM0072,3,9.23,Finhigh
1EF7NFU0EUT973245,102,2021-02-08,FG-BAE0010,2,41.91,Funholding
1EF7NFU0EUT973245,102,2021-02-08,FG-BAEW0038,1,19.79,Funholding
1EF7NFU0EUT973245,102,2021-02-08,FH-EAEESS0059,2,61.3,Blackzim
1EF7NFU0EUT973245,102,2021-02-08,ZN-BAE0020,2,32.7,Plexzap
1EF7NFU0EUT973245,102,2021-02-08,ZN-PACBS0176,4,17.04,Betatech
1EF7NFU0EUT973245,102,2021-02-18,BH-EAES0112,2,81.01,Nam-zim
1EF7NFU0EUT973245,102,2021-02-18,FG-EAES0104,4,46.77,Finhigh
1EF7NFU0EUT973245,102,2021-04-11,FG-ICS0159,3,91.98,Plexzap
1EF7NFU0EUT973245,102,2021-04-11,FG-PACBS0183,3,81.18,Nam-zim
1EF7NFU0EUT973245,102,2021-04-11,PP-EAEGAM0064,4,3.82,Funholding
1EF7NFU0EUT973245,102,2021-04-11,PP-EAEIS0075,2,29.63,Nam-zim
1EF7NFU0EUT973245,102,2021-04-19,FH-EAESS0119,4,47.13,Zathunicon
1EF7NFU0EUT973245,102,2021-04-19,FH-PACBS0164,4,13.91,Blackzim
1EF7NFU0EUT973245,102,2021-04-19,PP-EAECS0051,2,56.54,Funholding
1EF7NFU0EUT973245,102,2021-05-22,FH-EAEESS0053,3,39.13,Zathunicon
1EF7NFU0EUT973245,102,2021-05-22,FH-PACBS0190,2,15.42,Zathunicon
1EF7NFU0EUT973245,102,2021-05-22,ZN-EAEESS0057,3,3.38,Finhigh
1EF7NFU0EUT973245,102,2021-05-22,ZN-PACBS0173,4,41.74,Finhigh
1FU8E0GMYMW270793,188,2020-05-09,BH-EAEAD0041,2,76.95,Funholding
1FU8E0GMYMW270793,188,2020-05-09,FG-EAEGAM0066,1,56.4,Finhigh
1FU8E0GMYMW270793,188,2020-05-09,FG-PACBS0194,1,9.66,Toughzap
1FU8E0GMYMW270793,188,2020-05-09,FH-EAELASS0085,1,61.21,Toughzap
1FU8E0GMYMW270793,188,2020-05-09,FH-EAES0112,3,20.35,Toughzap
1FU8E0GMYMW270793,188,2020-07-28,BM-EAEGAM0065,2,76.36,Blackzim
1FU8E0GMYMW270793,188,2020-07-28,BM-EAEM0132,3,67.94,Nam-zim
1FU8E0GMYMW270793,188,2020-07-28,FG-BAED0030,3,66.51,Nam-zim
1FU8E0GMYMW270793,188,2020-07-28,FG-EAESS0115,2,14.84,Plexzap
1FU8E0GMYMW270793,188,2020-07-28,TP-EAECS0048,3,33.28,Finhigh
1FU8E0GMYMW270793,188,2020-07-28,TP-EAELASS0090,1,24.65,Toughzap
1FU8E0GMYMW270793,188,2020-07-28,TP-EAES0110,1,4.84,Funholding
1FU8E0GMYMW270793,188,2020-07-28,TP-PACBS0189,2,26.96,Finhigh
1FU8E0GMYMW270793,188,2020-09-07,FG-EAEWH0130,1,55.89,Zathunicon
1FU8E0GMYMW270793,188,2020-09-07,FG-ICS0157,3,30.77,Funholding
1FU8E0GMYMW270793,188,2020-10-13,FG-EAECS0052,4,69.56,Toughzap
